RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;VVD;D66;PVV (Partij voor de Vrijheid);CDA;SP (Socialistische Partij);Partij van de Arbeid (P.v.d.A.);GROENLINKS;Forum voor Democratie;Partij voor de Dieren;ChristenUnie;Volt;JA21;Staatkundig Gereformeerde Partij (SGP);DENK;50PLUS;BBB;BIJ1;CODE ORANJE;NIDA;Splinter;Piratenpartij;JONG;Trots op Nederland (TROTS);Lijst Henk Krol;NLBeter;Blanco (Zeven, A.J.L.B.);LP (Libertaire Partij);OPRECHT;JEZUS LEEFT;DE FEESTPARTIJ (DFP);U-Buntu Connected Front;Vrij en Sociaal Nederland;Partij van de Eenheid;Wij zijn Nederland;Partij voor de Republiek;Modern Nederland;De Groenen
West Betuwe;G1960;10881;Nijmegen;K6;39928;33293;30;29;33234;8238;3470;4521;3587;1286;1424;909;1786;815;1384;490;928;3129;115;312;357;50;89;29;73;33;41;59;27;19;18;4;15;15;11;;;;;;;
West Maas en Waal;G0668;10042;Nijmegen;K6;15739;12916;12;23;12881;4032;1473;1760;1551;1122;461;356;560;346;102;156;342;18;12;183;188;13;55;9;23;25;13;23;16;4;20;4;3;2;9;;;;;;;
Westerkwartier;G1969;10604;Groningen;K1;50199;40878;53;68;40757;6573;4818;3903;5897;2731;2898;1934;2105;1188;3925;592;726;695;34;325;1750;84;111;6;87;58;54;76;34;29;;11;31;39;31;1;11;;;;;
Westerveld;G1701;10186;Assen;K3;16405;13816;16;22;13778;3202;1837;1264;1465;829;1208;651;599;803;394;223;355;79;13;133;468;17;41;4;49;31;16;33;10;9;30;4;7;4;;;;;;;0;
Westervoort;G0293;11085;Arnhem;K7;11913;9293;11;20;9262;2080;1353;1316;871;794;620;430;445;357;185;149;218;23;73;73;37;24;52;13;43;13;12;18;12;11;15;12;3;8;;2;;;;;;
Westerwolde;G1950;11249;Groningen;K1;20397;15258;18;28;15212;2484;1291;2636;1597;1597;1405;507;1146;646;415;132;317;96;12;186;474;12;65;1;32;23;21;43;13;9;;6;14;16;11;1;4;;;;;
Westland;G1783;11418;Dordrecht;K14;83002;68635;96;104;68435;21462;6870;9408;8973;2108;1772;1243;4751;1653;2097;859;3099;1019;599;622;281;94;660;129;266;83;101;;49;74;72;27;11;39;;;;;12;;2;
Weststellingwerf;G0098;11322;Leeuwarden;K2;21073;16515;15;26;16474;3424;1728;2258;2093;1277;1355;526;1112;593;385;193;368;94;36;166;522;20;62;37;48;35;18;40;18;15;;10;10;14;;;9;;;6;;2
Westvoorne;G0614;10009;Dordrecht;K14;12223;10144;6;7;10131;3367;1281;1347;824;433;493;195;618;378;179;139;479;39;7;111;68;17;52;0;39;13;12;;12;9;8;5;2;1;;;;;2;;1;
Wierden;G0189;10676;Zwolle;K4;19150;16545;23;16;16506;4058;1298;1508;4038;495;497;313;733;191;1289;123;426;641;16;107;556;15;59;1;16;22;14;25;7;6;9;3;31;9;;0;;0;0;;;
Wijchen;G0296;10723;Nijmegen;K6;32747;26649;45;36;26568;7542;4067;3164;2849;2056;1339;1043;1101;791;256;484;732;23;149;325;193;63;64;22;73;39;45;39;26;24;21;5;6;6;21;;;;;;;
Wijdemeren;G1696;10534;Haarlem;K10;19336;16377;26;18;16333;5093;2651;1643;1654;645;641;613;752;640;428;361;497;118;38;131;130;57;55;7;56;21;16;35;10;18;;7;4;;6;1;3;;2;;;
Wijk bij Duurstede;G0352;10760;Utrecht;K8;18913;15724;26;18;15680;4209;2316;1702;1537;839;801;636;796;580;477;342;428;391;84;163;117;34;50;6;41;22;22;32;9;12;;5;6;3;10;0;10;;;;;
Winterswijk;G0294;11119;Arnhem;K7;22952;18370;28;36;18306;4195;2808;1600;2318;1312;1431;721;867;427;347;242;401;60;145;152;958;24;65;9;58;30;22;43;16;11;19;10;7;8;;0;;;;;;
Woensdrecht;G0873;10602;Tilburg;K17;16236;12269;21;13;12235;3647;1245;2093;1182;910;555;280;755;362;114;130;401;17;34;198;97;21;55;2;32;19;26;;19;10;9;4;3;1;14;0;;0;;;;
Woerden;G0632;10974;Utrecht;K8;40201;34121;37;59;34025;8614;5436;2651;4219;1198;1443;1488;1209;1039;1885;766;913;1133;489;507;266;132;100;120;139;55;59;64;9;19;;7;32;14;14;1;4;;;;;
Wormerland;G0880;10648;Den Helder;K11;13027;10817;10;11;10796;2647;1722;1089;823;819;705;563;482;536;238;200;264;39;83;141;151;52;56;5;60;20;16;27;14;13;3;5;8;3;8;2;;;2;;;
Woudenberg;G0351;11398;Utrecht;K8;10215;8763;16;24;8723;1872;745;638;1057;225;290;186;441;204;815;97;184;1686;24;54;71;12;23;10;18;10;9;20;3;7;;1;3;9;6;0;3;;;;;
Zaanstad;G0479;11044;Den Helder;K11;112516;87049;244;172;86633;16835;12682;10659;4796;6494;6510;4804;4904;4097;1458;1565;2065;352;4041;1185;382;1371;395;403;310;280;168;249;108;92;147;60;59;38;77;36;;;11;;;
Zaltbommel;G0297;10557;Nijmegen;K6;21513;17802;24;15;17763;3755;1963;1765;1716;815;762;617;808;459;1182;310;370;2520;220;129;81;32;59;21;46;14;25;35;16;10;7;4;7;10;5;;;;;;;
Zandvoort;G0473;10910;Haarlem;K10;13503;10756;33;14;10709;3214;1449;1599;702;504;536;354;683;528;83;231;382;12;42;115;25;39;60;3;35;26;18;15;18;15;;7;2;;8;0;2;;2;;;
Zeewolde;G0050;10012;Lelystad;K5;16680;13987;22;19;13946;3704;1670;1497;1569;534;442;471;967;410;1033;272;538;243;52;138;190;35;57;9;40;16;16;;11;12;;3;9;6;;1;;1;;;;
Zeist;G0355;10324;Utrecht;K8;49108;40072;58;71;39943;9305;8242;2885;2968;1518;1964;2959;1311;2078;1502;1413;755;612;1124;298;61;257;104;155;124;83;48;45;21;32;;17;15;13;15;1;18;;;;;
Zevenaar;G0299;10938;Arnhem;K7;35565;27903;28;40;27835;7490;3717;3591;3243;2079;1656;1061;1373;880;297;366;658;29;180;382;281;56;125;12;72;54;50;59;28;26;25;10;25;9;;1;;;;;;
Zoetermeer;G0637;10766;Leiden;K15;95546;73943;162;131;73650;18287;10871;9439;4927;4379;3929;3227;4528;2760;2033;1326;2158;751;1290;1018;193;527;746;202;262;173;143;;84;75;122;42;51;39;;54;;;;;14;
Zoeterwoude;G0638;11074;Leiden;K15;7019;5901;7;9;5885;1523;1001;583;725;267;222;293;265;237;122;141;143;40;29;54;155;13;8;1;10;13;12;;8;10;6;3;0;1;;0;;;;;0;
Zuidplas;G1892;10855;Leiden;K15;34063;27746;47;35;27664;7124;3364;2823;2403;1200;1140;801;1463;820;1846;434;1118;1786;329;245;124;92;122;57;72;41;55;;30;25;39;8;81;17;;2;;;;;3;
Zundert;G0879;11192;Tilburg;K17;17244;13451;23;24;13404;4461;1454;1738;1800;886;448;288;630;313;85;161;344;20;42;197;329;21;50;17;37;8;20;;7;11;13;11;4;4;5;0;;0;;;;
Zutphen;G0301;10254;Arnhem;K7;37888;30290;51;39;30200;5256;5354;2530;2121;2382;2453;2402;1362;2186;889;766;515;119;517;270;323;149;101;41;111;62;38;53;25;27;95;19;12;19;;3;;;;;;
Zwartewaterland;G1896;10746;Zwolle;K4;16766;14382;38;10;14334;2038;760;1331;2060;541;491;212;648;166;2258;102;252;3041;13;85;204;5;32;2;16;9;11;23;4;4;4;5;3;10;;2;;1;1;;;
Zwijndrecht;G0642;10468;Dordrecht;K14;34589;26030;50;47;25933;5845;2806;3386;2365;1608;1313;747;1508;731;1591;272;856;1129;685;372;64;107;131;133;72;58;34;;35;14;20;5;13;26;;;;;4;;3;
Zwolle;G0193;10093;Zwolle;K4;99879;82028;127;153;81748;14635;15237;5467;7057;4539;5400;6231;3347;3481;7656;2383;1367;852;1085;547;427;545;223;83;297;227;124;133;51;72;116;42;41;65;;5;;7;6;;;
